"DIV_FNAME","DIV_SNAME","DIV_ID","ZONE_ID"
"MUMBAI CR","BB",1,1
"SOLAPUR","SUR",2,1
"NAGPUR","NGP",4,1
"IRIEEN","IRIEEN",5,1
"BHUSAWAL","BSL",6,1
"BHUSAWAL WORKSHOP","BSLWS",7,1
"HEADQUARTER","HQ",8,1
"MANMAD WORKSHOP","MMRWS",9,1
"PAREL WORKSHOP","PRWS",10,1
"MATUNGA WORKSHOP","MTNWS",11,1
"BYCULLA WORKSHOP","BYWS",12,1
"NASIK WORKSHOP","NKRDWS",13,1
"MUMBAI WR","MMCT",14,8
"VADODARA","BRC",15,8
"AHMEDABAD","ADI",16,8
"RATLAM","RTM",17,8
"RAJKOT","RJT",18,8
"BHAVNAGAR","BVC",19,8
"DAHOD WORKSHOP","DHDWS",20,8
"HEADQUARTER WR","HQWR",21,8
"ENG WORKSOP","SBIWS",22,8
"HEADQUARTER ER","HQER",23,2
"HOWRAH","HWH",24,2
"SEALDAH","SDAH",25,2
"ASANSOL","ASN",26,2
"AMALDA","MLDT",27,2
"LILUAH WORKSHOP","LLHWS",28,2
"KACHRAPADA WS","KPAWS",29,2
"HEADQUARTER NR","HQNR",30,3
"DELHI ","DLI",31,3
"FIROZPUR ","FZR",32,3
"LUCKNOW  (NR)","LKO",33,3
"MORADABAD ","MB",34,3
"ALAMBAGH WORKSHOP (NR)","ALAMBAGH",35,3
"AMRITSAR WORKSHOP","ASRWS",36,3
"CHARBAGH WORKSHOP","CHARBAGH",37,3
"GHAZIABAD WORKSHOP","GZBWS",38,3
"JAGADHARI WORKSHOP","JUDW",39,3
"AMABALA ","UMB",40,3
"HEADQUARTER NER","HQNER",41,4
"VARANASI","BSB",42,4
"LUCKNOW","LJN",43,4
"IZZATNAGAR","IZN",44,4
"IZZATNAGAR WS","IZNWS",45,4
"GORAKHPUR WS","GKPWS",46,4
"HEADQUARTER NFR","HQNFR",47,5
"KATIHAR ","KIR",48,5
"ALIPURDUAR ","APDJ",49,5
"LUMDING ","LMG",50,5
"TINSUKIA ","TSK",51,5
"RANGIYA ","RNY",52,5
"DIBRUGARH WS","DBWS",53,5
"NEW BONGAIGAON WS","NBQWS",54,5
"HEADQUARTER SR","HQSR",55,6
"MADRAS ","MAS",56,6
"TIRUCHCHIRAPPALLI ","TPJ",57,6
"MADURAI ","MDU",58,6
"PALGHAT ","PGT",59,6
"SALEM ","SA",60,6
"PERAMBUR WS","PERWS",61,6
"GOLDEN-ROCK WS","GOCWS",62,6
"THIRUVANANTHAPURAM ","TVR",63,6
"HEADQUARTER SER","SERHQ",64,7
"KHARAGPUR ","KGP",65,7
"ADRA ","ADA",66,7
"CHAKRADHARPUR ","CKP",67,7
"RANCHI ","RNC",68,7
"KHARAGPUR WORKSHOP","KGPWS",69,7
"SINI WORKSHOP","SINWS",70,7
"HEADQUARTER SCR","SCRHQ",71,9
"SECUNDERABAD DIVISON","SC",72,9
"HYDERABAD DIVISION","HYB",73,9
"VIJAYAWADA DIVISON","BZA",74,9
"GUNTAKAL DIVISION","GTL",75,9
"GUNTUR DIVISION","GNT",76,9
"NANDED DIVISION","NED",77,9
"LALLAGUDA WORKSHOP","LGDWS",78,9
"RAYANAPADU WORKSHOP","RYPWS",79,9
"TIRUPATI WORKSHOP","TPTYWS",80,9
"HEADQUARTER ECR","HQECR",81,25
"SONPUR ","SEE",82,25
"DHANBAD ","DHN",83,25
"DANAPUR ","DNR",84,25
"MUGALSARAI ","MGS",85,25
"SAMASTIPUR ","SPJ",86,25
"SAMASTIPUR WORKSHOP","SPJWS",87,25
"HARNAUT WORKSHOP","HRKWS",88,25
"HEADQUARTER NCR","HQNCR",94,31
"ALLAHABAD","ALD",95,31
"JHANSI","JHS",96,31
"AGRA","AGC",97,31
"JHANSI WORKSHOP","JHSWS",98,31
"SITHOULI KARKHANA","STLIWS",99,31
"HEADQUARTER NWR","HQNWR",100,32
"JAIPUR ","JP",101,32
"AJMER ","AII",102,32
"JODHPUR ","JU",103,32
"BIKANER ","BKN",104,32
"AJMER WORKSHOP","AIIWS",105,32
"JODHPUR WORKSHOP","JUWS",106,32
"BIKANER WORKSHOP","BKNWS",107,32
"HEADQUARTER SECR","HQSECR",108,33
"BILASPUR ","BSP",109,33
"RAIPUR ","R",110,33
"NAGPUR ","NGPSECR",111,33
"MOTIBAG WORKSHOP","NGPWS",112,33
"HEADQUARTER SWR","HQSWR",113,34
"HUBLI ","UBL",114,34
"BANGALORE ","SBC",115,34
"MYSORE ","MYS",116,34
"HUBLI WORKSHOP","UBLWS",117,34
"MYSORE WORKSHOP","MYSWS",118,34
"HEADQUARTER WCR","HQWCR",119,35
"JABALPUR ","JBL",120,35
"BHOPAL ","BPL",121,35
"KOTA ","KOTA",122,35
"BHOPAL WORKSHOP","BPLWS",123,35
"KOTA WORKSHOP","KOTAWS",124,35
"KRUDUWADI WORKSHOP","KWVWS",125,1
"PUNE","PA",126,1
"HEADQUARTER ECOR","HQECOR",89,30
"KHURDA ROAD","KUR",90,30
"SAMBALPUR","SBP",91,30
"WALTAIR","WAT",92,30
"MANCHESWAR","MCS",93,30
