"ZONE_FNAME","ZONE_SNAME","ZONE_ID"
"CENTRAL RAILWAY","CR",1
"WESTERN RAILWAY","WR",8
"EASTERN RAILWAY","ER",2
"NORTHERN RAILWAY","NR",3
"NORTH EASTERN RAILWAY","NER",4
"NORTHEAST FRONTIER RAILWAY","NFR",5
"SOUTHERN RAILWAY","SR",6
"SOUTH EASTERN RAILWAY","SER",7
"SOUTH CENTRAL RAILWAY","SCR",9
"DIESEL LOCOMOTIVE WORKS","DLW",11
"INTEGRAL COACH FACTORY","ICF",12
"RAIL WHEEL FACTORY","RWF",13
"DIESEL LOCO MODERNISATION WORKS","DMW",14
"RAIL COACH FACTORY-RAIBARELLY","RBL",15
"METRO RAILWAY(KOLKATA)","MTPK",20
"RAIL WHEEL PLANT BELA","RWP",22
"RAIL COACH FACTORY-KAPURTHALA","RCF",24
"EAST CENTRAL RAILWAY","ECR",25
"EAST COAST RAILWAY","ECOR",30
"NORTH CENTRAL RAILWAY","NCR",31
"NORTH WESTERN RAILWAY","NWR",32
"SOUTH EAST CENTRAL RAILWAY","SECR",33
"SOUTH WESTERN RAILWAY","SWR",34
"WEST CENTRAL RAILWAY","WCR",35
"MTP-CHENNAI","MTPC",36
"RAILWAY BOARD","RB",41
"RAILWAY ELECTRIFICATION","CORE",51
"RESEARCH DESIGN AND STANDARDS ORGANISATION","RDSO",52
"COFMOW","COFM",58
"CHITTARANJAN  LOCOMOTIVE  WORKS","CLW",66
